date,description,amount
2024-01-15,SWIGGY BANGALORE,-450.50
2024-01-15,SALARY CREDIT,75000.00
2024-01-16,UBER TRIP PAYMENT,-280.00
2024-01-16,AMAZON PURCHASE,-1250.75
2024-01-17,GROCERY STORE RELIANCE,-1800.00
2024-01-17,PETROL PUMP HP,-2500.00
2024-01-18,NETFLIX SUBSCRIPTION,-199.00
2024-01-18,ELECTRICITY BILL BESCOM,-3200.00
2024-01-19,MOBILE RECHARGE JIO,-399.00
2024-01-19,RESTAURANT PAYMENT,-1500.00
2024-01-20,ATM WITHDRAWAL,-5000.00
2024-01-20,MEDICAL STORE APOLLO,-850.00
2024-01-21,RENT PAYMENT,-15000.00
2024-01-22,ZOMATO ORDER,-650.00
2024-01-22,OLA RIDE,-320.00
2024-01-23,FLIPKART PURCHASE,-2100.00
2024-01-23,COFFEE SHOP STARBUCKS,-450.00
2024-01-24,INSURANCE PREMIUM LIC,-5000.00
2024-01-24,INTERNET BILL AIRTEL,-1200.00
2024-01-25,MOVIE TICKETS PVR,-800.00
2024-01-25,SHOPPING MALL,-3500.00
2024-01-26,FUEL STATION INDIAN OIL,-2800.00
2024-01-26,PHARMACY MEDPLUS,-650.00
2024-01-27,FOOD DELIVERY SWIGGY,-720.00
2024-01-27,TAXI FARE,-450.00
2024-01-28,GROCERY SHOPPING DMART,-2200.00
2024-01-28,SALON VISIT NATURALS,-800.00
2024-01-29,BANK CHARGES,-150.00
2024-01-29,INTEREST CREDIT,250.00
2024-01-30,FREELANCE PAYMENT,15000.00
